
# Curve 0 of 1, 501 points
# x y type
   9.96958     -93.4430783636  i
   9.97163     -93.4432037241  i
   9.97368     -93.4433282598  i
   9.97574     -93.4434519719  i
   9.97779     -93.4435748618  i
   9.97984     -93.4436969306  i
   9.98189     -93.4438181795  i
   9.98395     -93.4439386100  i
   9.98600     -93.4440582232  i
   9.98805     -93.4441770203  i
   9.99010     -93.4442950026  i
   9.99216     -93.4444121715  i
   9.99421     -93.4445285280  i
   9.99626     -93.4446440736  i
   9.99831     -93.4447588094  i
  10.00037     -93.4448727366  i
  10.00242     -93.4449858567  i
  10.00447     -93.4450981707  i
  10.00653     -93.4452096800  i
  10.00858     -93.4453203858  i
  10.01063     -93.4454302896  i
  10.01268     -93.4455393928  i
  10.01474     -93.4456476967  i
  10.01679     -93.4457552030  i
  10.01884     -93.4458619129  i
  10.02089     -93.4459678279  i
  10.02295     -93.4460729495  i
  10.02500     -93.4461772791  i
  10.02705     -93.4462808181  i
  10.02910     -93.4463835679  i
  10.03116     -93.4464855301  i
  10.03321     -93.4465867060  i
  10.03526     -93.4466870970  i
  10.03731     -93.4467867047  i
  10.03937     -93.4468855304  i
  10.04142     -93.4469835755  i
  10.04347     -93.4470808416  i
  10.04553     -93.4471773300  i
  10.04758     -93.4472730422  i
  10.04963     -93.4473679796  i
  10.05168     -93.4474621436  i
  10.05374     -93.4475555358  i
  10.05579     -93.4476481574  i
  10.05784     -93.4477400100  i
  10.05989     -93.4478310950  i
  10.06195     -93.4479214138  i
  10.06400     -93.4480109681  i
  10.06605     -93.4480997592  i
  10.06810     -93.4481877886  i
  10.07016     -93.4482750579  i
  10.07221     -93.4483615686  i
  10.07426     -93.4484473220  i
  10.07631     -93.4485323198  i
  10.07837     -93.4486165634  i
  10.08042     -93.4487000543  i
  10.08247     -93.4487827940  i
  10.08453     -93.4488647840  i
  10.08658     -93.4489460258  i
  10.08863     -93.4490265209  i
  10.09068     -93.4491062707  i
  10.09274     -93.4491852768  i
  10.09479     -93.4492635407  i
  10.09684     -93.4493410638  i
  10.09889     -93.4494178476  i
  10.10095     -93.4494938936  i
  10.10300     -93.4495692034  i
  10.10505     -93.4496437784  i
  10.10710     -93.4497176201  i
  10.10916     -93.4497907300  i
  10.11121     -93.4498631095  i
  10.11326     -93.4499347600  i
  10.11531     -93.4500056827  i
  10.11737     -93.4500758788  i
  10.11942     -93.4501453496  i
  10.12147     -93.4502140963  i
  10.12352     -93.4502821202  i
  10.12558     -93.4503494225  i
  10.12763     -93.4504160045  i
  10.12968     -93.4504818674  i
  10.13174     -93.4505470125  i
  10.13379     -93.4506114410  i
  10.13584     -93.4506751541  i
  10.13789     -93.4507381532  i
  10.13995     -93.4508004394  i
  10.14200     -93.4508620141  i
  10.14405     -93.4509228784  i
  10.14610     -93.4509830335  i
  10.14816     -93.4510424809  i
  10.15021     -93.4511012216  i
  10.15226     -93.4511592570  i
  10.15431     -93.4512165883  i
  10.15637     -93.4512732167  i
  10.15842     -93.4513291435  i
  10.16047     -93.4513843700  i
  10.16252     -93.4514388973  i
  10.16458     -93.4514927268  i
  10.16663     -93.4515458597  i
  10.16868     -93.4515982973  i
  10.17074     -93.4516500409  i
  10.17279     -93.4517010916  i
  10.17484     -93.4517514509  i
  10.17689     -93.4518011198  i
  10.17895     -93.4518500998  i
  10.18100     -93.4518983921  i
  10.18305     -93.4519459979  i
  10.18510     -93.4519929185  i
  10.18716     -93.4520391552  i
  10.18921     -93.4520847092  i
  10.19126     -93.4521295819  i
  10.19331     -93.4521737744  i
  10.19537     -93.4522172880  i
  10.19742     -93.4522601241  i
  10.19947     -93.4523022838  i
  10.20152     -93.4523437684  i
  10.20358     -93.4523845793  i
  10.20563     -93.4524247176  i
  10.20768     -93.4524641847  i
  10.20973     -93.4525029817  i
  10.21179     -93.4525411100  i
  10.21384     -93.4525785709  i
  10.21589     -93.4526153656  i
  10.21795     -93.4526514956  i
  10.22000     -93.4526869622  i
  10.22205     -93.4527217668  i
  10.22410     -93.4527559107  i
  10.22616     -93.4527893953  i
  10.22821     -93.4528222220  i
  10.23026     -93.4528543921  i
  10.23231     -93.4528859070  i
  10.23437     -93.4529167680  i
  10.23642     -93.4529469765  i
  10.23847     -93.4529765339  i
  10.24052     -93.4530054415  i
  10.24258     -93.4530337008  i
  10.24463     -93.4530613129  i
  10.24668     -93.4530882794  i
  10.24873     -93.4531146016  i
  10.25079     -93.4531402808  i
  10.25284     -93.4531653184  i
  10.25489     -93.4531897157  i
  10.25695     -93.4532134742  i
  10.25900     -93.4532365952  i
  10.26105     -93.4532590800  i
  10.26310     -93.4532809300  i
  10.26516     -93.4533021466  i
  10.26721     -93.4533227310  i
  10.26926     -93.4533426845  i
  10.27131     -93.4533620083  i
  10.27337     -93.4533807037  i
  10.27542     -93.4533987720  i
  10.27747     -93.4534162145  i
  10.27952     -93.4534330323  i
  10.28158     -93.4534492268  i
